anomaly,h,ic,t
roe,21,-0.00434686191501307,-0.46663839001646945
roe,63,-0.013029684175756718,-0.7816131000742649
roe,126,-0.019008037333110243,-0.855175942892148
roa,21,-0.002430106903221193,-0.2276548158406949
roa,63,-0.012131574097264279,-0.6164240683887531
roa,126,-0.017636552623351353,-0.6595396008547606
gross_profit,21,0.011637964024329327,1.0062172606256097
gross_profit,63,0.015257028368553211,0.7259583217048836
gross_profit,126,0.018813127121910543,0.6192180460549406
asset_growth,21,-0.013256356960872009,-1.538662989154321
asset_growth,63,-0.015817463807403762,-1.0862515522764677
asset_growth,126,-0.007866692032557023,-0.3768246651347608
share_issuance,21,1.3834009854613455e-05,0.001552268978654934
share_issuance,63,0.0002848589205220265,0.019814625696760863
share_issuance,126,0.005379572823645414,0.27959272991442957
leverage,21,0.010689160751162054,1.0599411300293702
leverage,63,0.019580484678141098,1.1217656219089271
leverage,126,0.02211212744477175,0.870599913074546
book_to_market,21,0.022490191605742223,2.343536077351171
book_to_market,63,0.03513621873896601,2.2937068327802885
book_to_market,126,0.04477370033306403,2.099918146443727
earnings_yield,21,0.017693495669452407,1.851284113098087
earnings_yield,63,0.017718268539012514,1.1038124696288398
earnings_yield,126,0.01665491541501734,0.7488140758972939
