feature,h,ic,t
net_centrality,1,-0.0043110892985971936,-1.5887870478315747
net_centrality,5,-0.007499172087453321,-1.2592105778519276
net_centrality,21,-0.01545685277981845,-1.3086486638779569
coint_spread_z,1,0.002435672891234005,1.6992093097985141
coint_spread_z,5,0.004523921333515558,1.3838321178074535
coint_spread_z,21,0.008774466527405688,1.3296019752769204
size_lead_lag,1,-0.002080446331913745,-0.87944475960776
size_lead_lag,5,-0.003271932235906906,-0.6373627130338017
size_lead_lag,21,-0.0015559079417370848,-0.14956414839225454
down_corr_asym,1,-0.004787966380531618,-2.423685211380357
down_corr_asym,5,-0.01040252703670282,-2.4026961616524254
down_corr_asym,21,-0.015128915424225979,-1.7481285432689901
beta_instability,1,0.0021807192191593727,1.0234596732375552
beta_instability,5,-0.005338313288188649,-1.1268191904225409
beta_instability,21,-0.013856638444629407,-1.5564480730180434
corr_dispersion,1,0.0007394241951428895,0.3060501958874077
corr_dispersion,5,-5.491499534969753e-05,-0.010221618988731427
corr_dispersion,21,0.0004736495222694255,0.04353070400249467
