feature,h,ic_s,t_s,n_s,ic_l,t_l,n_l,scale,t_exp,realized
mom_21,1,-0.005739537633257468,-1.2001729829303103,2156,-0.0065199834417105605,-2.419347116305011,5428,1.5867026286960473,-1.9043176269054995,1.2704535641128472
mom_21,5,-0.009534276147246485,-0.9603280754578692,2152,-0.009184616524421294,-1.59368896866268,5424,1.5875912876601066,-1.5246084858923106,1.0453103097677818
mom_21,21,-0.015081598381832418,-0.7919824852089024,2136,-0.009218762581729763,-0.8343356711719446,5408,1.591174159541472,-1.2601820652738414,0.6620755001703987
mom_63,1,-0.001521510163096155,-0.2981180612907207,2114,-0.00027389782691347205,-0.09646584300079723,5386,1.5961756565568446,-0.47584879221216975,0.20272373194925625
mom_63,5,-0.014055238253622567,-1.292632691709835,2110,-0.0053279549432990745,-0.8508700175463426,5382,1.597094518328184,-2.0644565861415827,0.41215205166246544
mom_63,21,-0.02061632463170936,-0.9793249737886163,2094,-0.006428201643740712,-0.5315693276347352,5366,1.6007997046366707,-1.567703128784132,0.33907524828824315
mom_126,1,0.00803886318982278,1.4731683144152683,2051,0.0065713497763107195,2.147307414336675,5323,1.6109994898855513,2.3732734030385547,0.9047872072334479
mom_126,5,0.0005280492902007707,0.04522569650106054,2047,0.002651644969884377,0.3913236178046952,5319,1.6119667293985431,0.0729023180735857,5.36778017688962
mom_126,21,-0.009869143032932173,-0.4581019125843663,2031,-0.004280571522796193,-0.32995239614201083,5303,1.6158678936500959,-0.7402321725647802,0.4457417663957798
mom_252,1,0.016611004195435028,2.765504497150197,1925,0.011564341476074127,3.5371496437585552,5197,1.643088634170494,4.543969007014876,0.7784273260442542
mom_252,5,0.014724152666224732,1.1448993710125641,1921,0.011430085238384919,1.558950006121293,5193,1.6441653024879395,1.882403820659124,0.8281698055497074
mom_252,21,0.00994587322269946,0.42181662146733917,1905,0.005203239156409922,0.36019279322601877,5177,1.648510024791257,0.6953689291124876,0.5179880465549986
mom_12_1,1,0.018993128914837797,3.16532947755333,1925,0.014808473503109388,4.514155478085793,5197,1.643088634170494,5.200916887972705,0.8679537810967388
mom_12_1,5,0.017751011835316605,1.3831576299719879,1921,0.015098458956336644,2.0618463190923952,5193,1.6441653024879395,2.2741397830713947,0.906648893986507
mom_12_1,21,0.011216152099503085,0.48719201742445656,1905,0.0065210020996267284,0.461525631317118,5177,1.648510024791257,0.8031409247224934,0.5746508702399736
reversal_5,1,0.010422826994286323,2.219558972382279,2172,0.012279212712268181,4.629675537663668,5444,1.5831758184710656,3.5139520927461114,1.3175124234677975
reversal_5,5,0.013752447865600217,1.3913754480460354,2168,0.017560474955246246,3.135655735719446,5440,1.584053374179962,2.2040129732284788,1.422702939505061
