depth,leaf,mfeat,ic,t
3,20,0.3,0.02320421430804423,1.4908949108976235
3,20,0.6,0.02292678804671198,1.542312570634076
3,40,0.3,0.022922393434756622,1.4671958575976936
3,40,0.6,0.021109645763544856,1.4130720220851256
3,100,0.3,0.020680699809370953,1.336797337458205
3,100,0.6,0.023383825860051995,1.5546388247812695
6,20,0.3,0.02477320189969162,1.675459133498902
6,20,0.6,0.02598174697442571,1.8052039304137701
6,40,0.3,0.024273841349464958,1.5916706019613511
6,40,0.6,0.023955896457331944,1.6210467592689706
6,100,0.3,0.024448252277102265,1.5946011154316762
6,100,0.6,0.029308388765103846,2.000986001746196
10,20,0.3,0.02568715852531761,1.8558454507977675
10,20,0.6,0.025882974529005218,1.9093877645142179
10,40,0.3,0.03015038796363291,2.181161654051188
10,40,0.6,0.03010014866698678,2.240830074375283
10,100,0.3,0.03078810656523025,2.156324167938823
10,100,0.6,0.02708836123954569,1.9381956954356616
