setup,lb,th,horizon,n_events,mean,base,edge,t,win,ann_edge
1d move <= -3.0sd,1,-3.0,1.0,576.0,0.0031210379288401594,0.0005428298297695139,0.0025782080990706456,1.5427436732562954,0.5329861111111112,0.6497084409658027
1d move <= -3.0sd,1,-3.0,5.0,576.0,-0.0031552805138499265,0.002842473830369799,-0.005997754344219725,-2.03814225805201,0.5208333333333334,-0.30228681894867415
1d move <= -3.0sd,1,-3.0,21.0,574.0,0.025453739243657427,0.011620921361874644,0.013832817881782783,3.0717538034047243,0.632404181184669,0.1659938145813934
1d move <= -2.5sd,1,-2.5,1.0,998.0,0.0022834383876577284,0.0005391947322050149,0.0017442436554527135,1.5914828489052832,0.5200400801603207,0.4395494011740838
1d move <= -2.5sd,1,-2.5,5.0,998.0,-8.391524315132371e-05,0.002834760181172738,-0.0029186754243240615,-1.4886877699160628,0.533066132264529,-0.1471012413859327
1d move <= -2.5sd,1,-2.5,21.0,996.0,0.02162347253067489,0.011591553535017734,0.010031918995657156,3.210692504916625,0.6184738955823293,0.12038302794788588
1d move <= -2.0sd,1,-2.0,1.0,1856.0,0.0016832321997348704,0.0005336086679077133,0.0011496235318271572,1.7088985998577682,0.5290948275862069,0.2897051300204436
1d move <= -2.0sd,1,-2.0,5.0,1855.0,0.0027470331571709623,0.0027945498607605305,-4.751670358956817e-05,-0.037810304360766975,0.5525606469002695,-0.0023948418609142357
1d move <= -2.0sd,1,-2.0,21.0,1850.0,0.018433633376974023,0.011552354893738811,0.006881278483235212,3.2733673529728167,0.605945945945946,0.08257534179882253
1d move <= -1.5sd,1,-1.5,1.0,3755.0,0.0013369005312038084,0.0005203533303653918,0.0008165472008384166,2.0801076852302,0.5339547270306259,0.20576989461128098
1d move <= -1.5sd,1,-1.5,5.0,3752.0,0.0030092653452109402,0.0027811091127032546,0.0002281562325076856,0.2973563743036513,0.5495735607675906,0.011499074118387353
1d move <= -1.5sd,1,-1.5,21.0,3736.0,0.016024404491696218,0.011492210747477262,0.004532193744218956,3.3690574417676564,0.5955567451820128,0.05438632493062747
1d move >= +1.5sd,1,1.5,1.0,3506.0,-0.0012427033177758939,0.0006587089266957967,-0.0019014122444716906,-5.486179810573528,0.49486594409583573,-0.47915588560686606
1d move >= +1.5sd,1,1.5,5.0,3503.0,0.0014605172041454566,0.0028632437391179198,-0.0014027265349724632,-2.0134016908587418,0.5469597487867542,-0.07069741736261215
1d move >= +1.5sd,1,1.5,21.0,3480.0,0.013493328639766423,0.011642373219808483,0.0018509554199579396,1.505412862382083,0.5870689655172414,0.022211465039495275
1d move >= +2.0sd,1,2.0,1.0,1593.0,-0.0027101699731310208,0.0006398040781598682,-0.003349974051290889,-5.443635792269763,0.482736974262398,-0.844193460925304
1d move >= +2.0sd,1,2.0,5.0,1593.0,-0.00047762601113482975,0.0028691902027424784,-0.003346816213877308,-2.8404456875598534,0.5455116133082235,-0.16867953717941633
1d move >= +2.0sd,1,2.0,21.0,1582.0,0.015620328439227182,0.011644543626421254,0.003975784812805928,2.0657414848411206,0.5948166877370418,0.047709417753671136
1d move >= +2.5sd,1,2.5,1.0,814.0,-0.005496725393725412,0.000634894346050106,-0.006131619739775517,-5.934490258734946,0.4631449631449631,-1.5451681744234305
1d move >= +2.5sd,1,2.5,5.0,814.0,-0.005225315687546969,0.0028873002002363438,-0.008112615887783312,-4.095538746696136,0.5171990171990172,-0.4088758407442789
1d move >= +2.5sd,1,2.5,21.0,808.0,0.016607366346577848,0.01167755641048017,0.004929809936097679,1.6735604470648777,0.6076732673267327,0.059157719233172146
1d move >= +3.0sd,1,3.0,1.0,452.0,-0.008502007925742086,0.0006225716389974075,-0.009124579564739494,-5.911429339360721,0.4424778761061947,-2.2993940503143526
1d move >= +3.0sd,1,3.0,5.0,452.0,-0.008972390987164064,0.0028694898827976564,-0.01184188086996172,-4.105644027471024,0.504424778761062,-0.5968307958460707
1d move >= +3.0sd,1,3.0,21.0,451.0,0.018180969271526157,0.011692686821614036,0.006488282449912121,1.5852449527006554,0.6164079822616408,0.07785938939894546
5d move <= -3.0sd,5,-3.0,1.0,577.0,0.003975227806268651,0.0005357283954613839,0.0034394994108072675,1.7666692249083358,0.5493934142114385,0.8667538515234314
5d move <= -3.0sd,5,-3.0,5.0,577.0,0.009157262345130793,0.002740590127318491,0.006416672217812302,1.9698426029097977,0.5805892547660312,0.32340027977774
5d move <= -3.0sd,5,-3.0,21.0,576.0,0.03769681121814885,0.011518743855047047,0.026178067363101805,5.3336537339010865,0.6649305555555556,0.3141368083572217
5d move <= -2.5sd,5,-2.5,1.0,1033.0,0.0029541042170349112,0.0005283184451843765,0.0024257857718505346,1.9613388473565638,0.5498547918683446,0.6112980145063347
5d move <= -2.5sd,5,-2.5,5.0,1033.0,0.007266541827089398,0.0027265340955885823,0.004540007731500816,2.1606892893792256,0.5818005808325266,0.22881638966764112
5d move <= -2.5sd,5,-2.5,21.0,1031.0,0.027776036358713833,0.011494297706104913,0.016281738652608922,4.965799609075338,0.6391852570320078,0.19538086383130707
5d move <= -2.0sd,5,-2.0,1.0,1988.0,0.0018473034798325758,0.0005266169771850931,0.0013206865026474828,1.818365157559617,0.5508048289738431,0.3328129986671657
