signal,arm,sharpe,alpha_ann,alpha_t,t_pctile,clears_p95
reversal_5,with vol target,0.8488515313511824,0.02094430255525141,1.7314687647226703,0.0,no
reversal_5,no overlay,0.7685211887007066,0.03334502343273088,2.1084805119718135,8.0,no
mom_12_1,with vol target,0.9108692098217804,0.022329537632525293,2.0542176125465295,8.0,no
mom_12_1,no overlay,0.7987726649406084,0.019515569797428953,1.719943021723465,1.0,no
mom_252,with vol target,0.8933912542683958,0.020474257608930967,1.9296665075305393,2.5,no
mom_252,no overlay,0.7858773132980831,0.01624140380482946,1.4615889010950953,0.0,no
mom_63,with vol target,0.9051545110170616,0.025214639798389952,2.020044265418106,4.0,no
mom_63,no overlay,0.8033240327004257,0.025934594686101313,1.7986965875094838,2.0,no
low_vol_60,with vol target,1.0041380731681475,0.028493381243051525,2.368569500608098,24.0,no
low_vol_60,no overlay,0.8181141600871453,0.014941089164740518,1.0874867439708338,0.0,no
near_high_252,with vol target,0.9019695627600579,0.019940985941140046,1.7568757694635815,0.0,no
near_high_252,no overlay,0.7548554351794899,0.007143227652864189,0.5719458574365545,0.0,no
